Original,Translation
isafari eyokhutsia khubebusi bange mombasa,safari ya kuenda kwa wazazi wangu mombasa
yalio inyanga ndala eya abebusi bange bananga entsie ewabali,kulikuwa na siku wazazi wangu walinialika niande walipokuwa
olwa inyanga eyo yola ndetayarisia evilai nga lwola itsuli ninanga ouchinga neyetsa nikhwanza oluchendo,hiyo siku ilipowadia nijitayarisha vizuri nikamwita anayenibeba akaja tukaanza safari
lwahuola ekhoere obukula omutoka kwetsa nekwitsule nembara ndole nomba nengore khulwa nyasaye wange okundi khandi kwetsa obulai nenyola obweyango nendipa amatongolo akeisafari,tulipofika nilipofaa kuabiri gari gari lilikuja likiwa limejaa na kwa bahati njema ya maulana gari lingine lilikuja nikapata nafi nililipa nauli
obulayi olwa khwanza oluchendo khwenukha obulayi ne nekhali ambi okhula handi netsia omutoka kwamala nikukomokha nikulinga kata engorirwe olunyuma kwenyola mbu khuli mamwala omwibusi wange yalinda yoba isimu nangonya mbu sinzulanga dawe mana yakhaywa siokhukhola,tulipoanza safari tulianza salama na tulipofika karibu na nilipokuwa nakwenda gari lilichukua mkondo mwingine kuenda mahali nisipojua mzazi wangu alikuwa ameningoja akapiga simu kuniuliza mbona sifiki alishindwa cha kufanya
oluchendo lwange lwari lwa tsishida tsinyingi mana silwamala lwakamika dawe,safari yangu ilikuwa na mikosi mingi hadi haikukamilika
omwibusi wange mana yalinda yalola siavenyanga hubera imutoka yetsa yabiya ni huli ambi hula mana tsishida tsia khwabirirakho,mzazi wangu aliningoja akakiona kile alichotaka kwa maana gari lilikuja likaharibika tukiwa karibu kufika na hivyo tulipitia shida mingi
khwalinda vakasie imutoka mpaka vamala lakini inzala yanuma inyanga inamba bila kata huliakho sindu siosi,tulingoja watengeneze gari hadi wamalize lakini nilikuwa nahisi njaa kwa siku mzima sikuwa nimekula kitu chochote
mana khurula ao ndeka makesi nende sindu sikhongo siandusia mbatsa mbu nzie mtauni sindakhanyolere kano dawe kata vaye kata kando nende ao nyasaye wange uno alolanga vilai vyamakati hadi akhonynga vandu vali mtsishida ngesie ano ni khulwokhuvera yaninda mpaka nga ndola khuvevusi vange mtauni,kutokea hapo tulijifunza na nikajuta kilichonitoa nyumbani niende jijini singepatana na haya yote hata hivyo mungu wangu huona yote yanayowakumba watu walio na shida kama mimi alinilinda hadi nilipowafikia wazazi wangu jijini
bulayi bua ingokho,umuhimu wa kuku
mbukula ebikha bino khulomalomera eingokho eingokho ni sindu sirukuangwa ingo nende omundu uria unyala khuirinda ingokho ireranga tsifaida tsisabi ingokho nooirisia bilayi inyala khurera ababuyu magi lukari khandi inyala yaalula abaana bangi abana abo nibaalulwa onyala khubakusia mapesa masabi kakhukhonya yewe mwene,nachukua wakati huu kuzungumzia kuku kuku ni kitu kinachofugwa nyumbani na mtu yule ambaye anaweza mlinda kuku huleta faida nyingi kuku ukimlisha vizuri anaweza leta mayai mingi sana tena anaweza agua vifaranga wengi sana vufaranga hao wakiaguliwa unaweza wauza pesa mingi yakakusaidia wewe mwenyewe
nibuadodo mbari ingokho biinyikhana obekho ninayo khubera onyala wabuogwa nende omukeni wao uria owa wajama khubeera khasiwakhaamborera mbari nori nende ingombe onyala khuisinjira omundu mulala khubera ingombe eyo mukeni alairekha abuene nga luaibere ni bilakhutsuna ingokho ni sindu sia mukeni anyala khuriakho siaduduya nibilayi mbari mundu abeekho nende ingokho kata ndala,ni ukweli kwamba kuku unastahili uwe naye kwa sababu unaweza pata mgeni wako yule ambaye unampenda bila kutarajia kwa sababu hauwezi niambia kuwa ukiwa na ngombe unaweza mchinjia mtu mmoja kwa maana ngombe huyo mgeni ataacha ilivyokuwa na itakuuma kuku ni kitu ambacho mgeni anaweza kula ikapungua ni vizuri kuwa mtu awe na kuku hata mmoja
ingokho inyala khualula abaana bakhira makhumi karano niinyola omundu oirisia bilayi inyala khusomisia abaana bao khuerisia abeene bila khurindirisia esia oundi khuno ni khubera noorindirisia esindu sia mundu wundi olafua noobula siosisiosi ingokho ino bandu bairuka ni bandi bamenya ninayo munyumba nibilayi ingokho niiba nende inyumba yayo,kuku anaweza kuagua watoto wanaoshinda kumi na tano akipata mtu wa kumlisha vizuri anaweza kukusomeshea watoto wakobila kungojea ya mtu mwingine hii ni kwa sababu ukingojea kitu cha mtu mwingine utakufa ukiwa hauna chochote kuku huyu watu wamemfuga na wengine wanaishi naye kwa nyumba ni vizuri kuku akiwa na nyumba yake kujilisha wenyewe kuku huyu watu wamemfuga na wengine wanaishi naye kwa nyumba ni vizuri kuku akiwa na nyumba yake
selira liangeni misheli okwero,jina langu ni misheli okwero
nesie mbolanga ati nyendelea vilayi sana mumasomo kange,nami nasema kuwa naendelea vizuri sana kwa masomo yangu
mshukula muno huichanga huekesia mafunzo mbalimbali,nawashukuru sana kwa kuja kufunza masomo mbalimbali
musikuli muno hujamanga hufujwa mafunzo kama mathi nende kiswahilisayanzi nende sosoli ako niko kahusomanga musikuli,hapa shuleni tunakubali kufunzwa mafunzo kama hisabati na kiswahili sayansi na somo la jamii hayo ndiyo masomo tunayosoma shuleni
masomo ni malayi sana kabisa,masomo ni mazuri sana
valimu alala na vanafuji mbolanga ati nyenya mbali vecha vaange vavolanga ati mukhonyekho na valimu vange khu msiba kwange,walimu pamoja na wanafunzi nasema kuwa ati nataka rafiki zangu wanaosema nisaidieni na walimu wangu kwa msiba wangu
olumarachi ni ludinyu kabisa,kimarachi ni kigumu sana
ati mama wange yambolela ati ninjiikasa mumalebo alangova hucha khukendela wa nyanya,ati mamangu aliniambia nikijikaza kwa mtihani atanipeleka kwenda kumtembelea nyanya
nidalavira malevo kange ka mwaka kuno nyole makisi mia mbili na nane,nikipita mtihani wangu wa mwaka huu nipate alama mia mbili na nane
we can still talk about oluluhya,tunaeza bado ongelelea kiluya
oluluhya niludinyu kusema ukweli,kiluhya ni kigumu kusema ukweli
ata esie ndi mluhya lakini nalukorwa,hata mimi ni mluhya lakini sikijui
nange ndula mulukongo lulangwa akany,nami natoka katika kijiji kiitwacho akany
sinyanga luundi ndatsia khusiro hukula omena vwa makhumi karano,siku moja nilienda sokoni kununua omena wa hamusini
obukhonyibwe misala,matumizi ya miti
omusala nomumera omurambi okunyala khumenya tsindato tsinyingi,mti ni mmea mrefu ambao huweza kuishi kwa miaka mingi
omusala kuli nende obukhonyi khubandu nende okhukasia ebindu bia tsimbao kubunji emisala kirwetsanga ebitabo nende emiuya kia khuyeranga,mti unamatumizi mengi sana kwa binadamu miti hutumika katika ujenzi wa nyumba miti pia hutumika katika kutengeneza vitu vya dhamana kama vile meza viti na vitanda miti pia hutumika katika kutengeneza vitabu viwandani na pia huleta hewa ambayo tunapumua
emisala kiekariranga omuyaka nende omukhula kwa matsi,miti huzuia upepo na mafuriko hufanya hivyo kwa kupitia mmomonyoko wa udongo
kikholanga kirio nikiekhonyera emisi kiakudisia riloba alala riloba ria akulu ribetsanga riangu,hufanya hivyo kwa kutumia mizizi ya kuweka udongo pamoja
riloba ria akulu ribetsanga riangu,udongo wa juu huwa mwepesi sana
khukwesua nende amatsi komukhula khalano bienyekhana buli mundu arake emisala mulukongo,kuvutwa na maji ya mafuriko kwa hivyo ni jukumu kwa kila mtu kupanda miti katika jamii yake
khandi emisala kiekariranga omuyaka khufunaka ebindu,miti pia huzuia upepo kuvunja vitu
bikhavindi omuyaka nikuitsa ebidinyu kunyasianga biakhulia bia abandu,wakati mwingine unapokuja ule mkali huaribu vyakula vya watu
kuiyaka emimera nende khukwisia tsinyumba,huvunja mimea na pia huangusha nyumba
biekholanga mtsingongo tsibula emisala,hali hii hufanyika katika jamii ambapo haina miti
emisala kikhonyanga khuveresania embolera khuliroba khulwa amasafu nikakwa asi nikabolera khuliloba,tmiti pia hutumika katika kuongeza rutuba kwenye udongo wakati ambapo matawi yake huanguka chini na kuanza kuoza kisha kuozea kwa udongo
emisala kindi misii kiako nemisala kwa okhunywa kata amasafu kaoningia amalwale kandi humubili,miti zingine mizizi yake hutumika kama dawa ya kunywa na hata pia matawi yake pia hutumika kama dawa ya kulea magonjwa tofautitofauti mwilini
biakhulia bindi bilura khumusala nga amachungwa nende ebiamo bindi,vyalula vingi hutoka kwenye miti kama vile machungwa na mimea zinginezo
emisala nikili alala kikasikia esitsakha,miti zikiwa pamoja hutengeneza kichaka
sitsakha sikhonyanga tsisolo tsiefwe amayoni kandi kaombokhanga khumisala mumasaga kakio,kichaka husaidia wanyama wetu ndege wengine hujenga kwa miti kwa matawi yazo
tsisolo etsio tsireranga abacheni khulura elwanyi lwa kwenya khulera amangondo,wanyama hao huleta wageni kutoka nje ya kenya kuleta pesa
misala kiekhonyeranga mutsingira tsinyingi khandi sikhunyala okhumenya nikhubula emisala khaba,miti hutumika katika njia mingi tena hatuwezi kuishi bila miti kamwe
khukhoyere khukhole amani khokhulinda emisala,tunafaa kufanya bidi ya kulinda miti
obulwaye bwa korona,ugonjwa wa korona
obulwaye bwa korona bwachaka mwaka kwa elfu thiviri nende ekhumi na tisa mani ni vunyala chuereya mushi ala shefue sia kenya,ugonjwa wa korona ulianza mwaka wa elfu mbili na kumi na tisa
mani ni bunyala khuenea mushialo shefue sia kenya,ukaweza kuenea kwa nchi yetu ya kenya
thielfu amusini nende mia thrano avandu bafwa nga ethingoho omwimirisi,watu elfu hamusini na mia tano walikufa kama kuku
omwimirisi woo bulamu mutahi kagwe nainia maoni kaye huringa na nende obulwaye buro bwa korona,waziri wa afya mutahi kagwe alitoa maoni yake kutokana na huu ugonjwa wa korona
umuhulundu muami uhuru nainia maoni kaye huluo vulwale vuwa korona navola mbu bwira bwangu sana,rais uhuru aliyatoa maoni yake kuhusu korona akasema kwamba unaua haraka sana
mani na vola mbu obulwale bwa korona nebubi sana handi buenyihana vandu vafuale thimasiki nende khuosia mahono vurisiha nende huba ifuti ndala nende inusu,akasema kwamba ugonjwa wa korona ni mbaya na inatakina watu wavae barakoa na kunawa mikono kila wakati na kuzingztia kusimama mita moja na nusu kutoka kwa mtu mwingine
vana besikuli ni banyala huihala mumadala bikuli nivifunga biosi pe musivala siefu sya kenya,wanafunzi waliweza kusalia nyumbani shule zote zikafungwa nchini kenya
khuachia mudala bila amani kosikosi hata kidongo dawe,tulikwenda nyumbani bila nguvu hata kidogo
korana ni bulwaye vevi sana vumaho muvayo kwoosikwoosi da,korona ni ugonjwa mbaya hauna mzaha wowote
yani nibudira mundu mukofu yesiyesi ni vumuderisiesa ngamutoka kukinganga mangendo,yaani mtu mzee akipatwa na huu ugonjwa huwa unamhangaisha sana
obulwaye bwa korona,ugonjwa wa korona
obulwaye buno bwarula musialo sia china omwaka kwa elfu thibiri nende mahumi kaviri,ugonjwa huu ulitoka nchini china mwaka wa elfu mbili na ishirini
obulwaye buno bwera avandu vaangi muno,huu ugonjwa uliwaua watu wengi sana
omusuku shetani owalera obulwaye buno humukemea anyole hushirwa,tunamkemea mwovu shetani aliyeleta huu ugonjwa akapatwe kushindwa
ngolwa obulwaye buno bwola msialo sia kenya obwera abandu abangi muno,ugonjwa huu ulipofika nchini kenya uliwaua watu wengi sana
khu mwaka oko beetsa bafunga bikuli vyosi msialo sia kenya,kwa huo mwaka walikuja wakazifunga shole zote nchini kenya
khwasaba kusaba lakini bwahaya,tulinawa mara kadhaa lakini ulishindikana
buri mundu yaborerwa mbu salanyorekhana dawe avundu wosi wosi,kila mtu aliambiwa kuwa asipatikane mahali popote
esie nga mwana khubolera mbari wikhale mdala sola kendakenda dawe,mimi kama mtoto nakwambia kuwa ukae nyumbani usitembee
ikhala aria woswosi wori,keti pale popote ulipo
khandi khusaba mbu osabe mikhono kiao khulwa busirikho,tena nakuomba unawe mikono zote kwa kuwa bado ungalipo
abandu vangi bafua khulwa bulwaye vuno vwa korona,watu wengi walikufa kutokana na huu ugonjwa wa korona
nyeenya khukhubora mbari solabaya nende bulwaye buno dawe,nataka kukuomba kuwa usicheze na huu ugonjwa
khandi khuri nende vindu viria vya noviriramo nonyola bulwaye buno,tena tuko na vitu zile ambavyo ukipita ndani utapatwa na huu ugonjwa
ni vindu nga ihoma,ni vitu kama homa
ingombe,ngombe
tukitaka,ngombe ni kitu nzuri kwa watu wote kwa kenya kinachofanya nasema hivi ngombe pia hufanya kazi nzuri kwa sababu hata kulima na tuna tumia fao wanunue ngombe wa kuime mia tatu na wa kike mia mbili ngombe wa kike wajifungue wakileta maziwa
tsingombe tsiruo tsibiri isatsa nende ikhasi tsingombe tsiosi tsiri nende malahyi kayo mudala sikera niimbola endio masingo ka ingombe ni malayi,ngombe wako wawili kuime na kike ngombe wote wana uzuri wao nyumbani kinachifanya niseme hivyo zamadi ya ngombe ni nzuri
oluimbo,wimbo
ochelewe florence ochelewe,umechelewa florence umechelewa
olarusia florence olarusia ifaini,utatoa florence utatoa faini
ifaini ya shilingi mia thirano,faini ya shilingi mia tano
olarusia florence ifain olarusia ifaini,utatoa florence utatoa faini
ifaini ya shilingi elfu ndala,tfaini ya shilingi elfu moja
olarusia florence olarusia ifaini,utatoa florence utatoa faini
ikoras,kiitikio
ochelewe florence ochelewe,umechelewa florence umechelewa
olarusia florence olarusia ifaini,utatoa florence utatoa faini
mrembe humwalimu wange sangala huhuandichira ibarua inendi mbu uliwo mulamu nesie mwanafunzi wao,hujambo mwalimu wangu nafurahia kukuandikia barua hii kuwa buheri wa afya mimi ni mwanafunzi wako
ehuveresia emirembe mingi mno,pokea salamu zangu sana
nesie mwene ndiwo omulamu ne nyenya huhuekesia mbu huliwo avalamu fwesi,mwenyewe ni mzima na ninataka kukujulisha kuwa nasi tu wazima
nuahajama noli muisomero huveresianga uvumirifu vunji vulano esie mbolanga mbu njicha khukhulola nikali oli mulamu yoli eyo kata vana vayo valamu vulinyanga,ukiwa shuleni nakutia moyo sana nami nasema kuwa nitakuja kukuona huko uliko na hata watoto wako ni wazima
inyaho uhonye sikulifisi amapesa kesikuli husavire evyo hulwohubera papa nomulware mbu alemerwe muno,naomba usaidizi wa karo ya shule na naomba kwa sababu babangu ni mgonjwa na amelemewa sana
nesie wawo violet anyango huenyera inyanga indai,mimi wako violet anyango nakutakia siku njema
nyasaye akhulinde oveyo,mungu na akulinde uwe mzima
olumarachi ni lusungo lwa bebusi vanje no lusungwangwa nende abandu baria benya huchakira khu makutano ko mwanda kwa bumala nokhwitha butula khuula bumala,kimarachi ni lugha ya wazazi wangu na huzungumzwa na wale watu kuanzia kwa mikutano ya barabara ya bumala ukija butula kufika bumala
esie mumera kanje bananganga everlyne ogolla naye khaandi ndi omumarachi wa butula olukongo lwange lulangwangwa bukati,mimi majina yangu naitwa everlyn ogolla na tena mimi ni mumarachi wa butula kijiji changu chaitwa bukati
esunganga lumarachi khubera hulio nende bandu bandi bakorwa luswahiri nano vibida nomanome lumarachi lakini baandi baamanya oluswairi luongane,huwa nazungumza kimarachi kwa sababu tuko na watu wengine wasiojua kiswahili hivyo inabidi kuongea kimarachi na pia wengine wanajua kiswahili peke yake
khulula muvutiti bwange ndali ndamanya olumarachi lakini ngi ndatsia mwisomero baangaluhania nimanya oluswairi nende lusungu niinjaka khuibilira olumarachi,tangia utotoni mwangu nilikwa najua kimarachi lakini nilipoenda shuleni niligeuzwa nikajua kiswahili na kiingereza nikaanza kusahau kimarachi
buleka wefwe eno abandu banji balomalomanga lumarachi khubera belanganga bamarachi,kwa upande wetu watu wengi huzungumza kimarachi kwa sababu wao hujiita wamarachi
kuka wanje nasili omulamu yambolelanga mbali nie nasili mtiti yali yakorwa khulomaloma luswaili naye haandi sibatsitsanga ta mwisomero,babu yangu akiwa hai alikwa akiniambia kuwa yeye akiwa mtoto hakuwa anajua kuongea kwa kiswahilina tena hawakuwa wanaenda shuleni
batoto basomanga ingo nende bakukhu babwe hulula mtsingano naye khaandi nambolela isiri indi mbali hale awo ni wali wajama lumarachi walichingi kalibu mwitsa wa vulimundu khubera bandu bali bajama luga lwabu,watoto walikuwa wanasoma nyumbani na nyanya zao kutoka kwa hadithi na tena akaniambia siri nyingine kuwa hapo awali iwapo ulikuwa unapenda kimarachi ulikwa rafiki wa karibu kila mtu
esie mwene ndachama oluluya khubera mutsinyanga tsino bakofu bangi bamanyile luswaili lakini badidi balomalomanga lumarachi nano notsia abali nimlomaloma,mimi mwenyewe napenda kiluhya kwa sababu siku hizi wazee wengi wanajua kiswahili lakini ni wachache wanaozungumza kimarachi sasa ukienda kule walipo mnaeza zungumza
ngombe,ngombe
ingombe ni isolo indayi khu mundu,ngombe ni mnyama mzuri kwa binadamu
ingombe nirukwa ebilayi inyala khurela ifaida isabi,ngombe akifugwa vizuri anaweza kuleta faida nyingi
ingombe yosi iris nga omundu buli nyanga yenyekhana irie kho irere ifaida indayi,ngombe pia ako tu kama binadamu kila siku anataka ale vizuri ili alete faida nzuri
ingombe yenyekhana khuria bindu ngaa obunyasi olusii milabi nende masakaria kaa madimwa,ngombe anafaa kula vitu kama vile nyasi mabingobingo majani ya viazi vitamu na muhindi
ingombe ikhoyere khukona abundu andayi wenyekhana obe nokasiye esidwoli,tngombe anafaa kulala mahali pazuri inafaa uwe umetengeneza zizi
buli nyanga norusia ingombe msidwoli urusia amasingo,kila wakati unapomtoa ngombe kwenye zizi unatoa zamadi
ingombe yosi yenyekhana iboywe abundu ari nende obunyasi obulayi,ngombe pia anahitaji afungwe mahali ambapo kuna nyasi nzuri
wayidedera olusii notsia khukhola mirimo kiao,ngombe anafaa anywe maji safi na anapomaliza kunywa maji unaweza rudi naye eyeye nyumbane ukamkatia mabingobingo na ukaenda kufanya shuguli nyingine
khulukongo khwefwe buri mundu ari nende ingombe,katika kijiji chetu kila mtu ana ngombe
ingombe mundu arukanga namanyire ingombe ilamrerera ifaida,ngombe mtu humufuga ngombe akijua yakwamba atamletea faida
ingombe ikhasi inyala khumurerera mabere alala nende khamosi,ngombe wa kike anaweza kumletea maziwa pamoja na ndama
ingombe niyakhamala khuibula ikhoyere kulisibwa bilayi khooinyale khulera amabere mangi handi onyala khukusia kandi wanyola amangondo,ngombe akishajifungua anafaa kulishwa vizuri ndipo aweze kuleta maziwa mengi na tena unaweza kuuza mengine ukapata pesa
