Original,Translation
bana befwe simana ne bajirani benywe nesikila mbo kamuchuli sekemanyikhana tawe,ndugu zetu pendana na majirani zenu kwa vile ya kesho hayajulikani
mayi musakhululuno walota mapema mala wabelele busa sina sibi,mama mume wangu mbona ukafika nyumbani mapema ukiwa umenuna
papa endalo ya luno yambukisie po,baba siku ya leo imenistaajabisha mno
khukhwama khu banuuli,kutoka kwa wanyanganyi
ne kakhali be lebanoni khukhwama khu sikulu sia baisiraeli se baulila me babemeelesi baali herimoni khukhwola khu silibwa siabwe,isipokuwa wa lebanoni kutoka kwa kilima cha waisraeli hawakuwasikia waamuzi waliokuwa herimoni kufika kwa lango lao
se baba bangali khu wele sie hamati,hawakuwa wa kweli kwa mungu kama hamati
chikholo chino chabalikha omunyali owa bioosi tawe mala basaaya khu isiraeli khumanya ne kali bali bawele babaandi,mbari hizi zilihesabika mweza wa vyotekisha wakaabudu kwa isiraeli kujua na iwapo kama miungu wengine
bakuuka babwe baba baisiraeli baria kamalaka niko wele omunyali owa bioosi aba ne aele bakuuka boosi,babu zao walikuwa waisraeli walitii maagizo ambavyo mungu mweza wa vyote alikuwa amewapa mababu zao
ne kakhali lisaaye lie bakuuka babwe khubirira khu musa namwe bano lilekha khuria kamalaka,isipokuwa uzao wa mababu zao kupitia kwa musa ama hawa kuacha kutii amri
khwako baisiraeli bamenya mulwosi nga wele omunyali owa bioosi mumaloba ke bakanaani bahiti baamori si aechanga baisiraeli omwimeelesi  baperisi ne bayebusi,kwa hayo waisraeli waliishi kufadhaika kama mungu mweza wa vyote kea mashamba ya wakanaani wahiti waamorihakuwapa waisraeli msimamizi waperisi na wayebusi
amuyetanga mala abaonia khukhwama ne nabo mala basaaya bawele khu basiku babwe mu bulamu bwo omwimeelesi oyo bwoosi,alikuwa akiwasaidia kisha akawaokoa kutoka na hao kisha wakaabudu miungu wa maadui wao kwa balamu wa msimamizi huyo wote
wele omunyali owa bioosi aabakholelaanga siisa mu buchuuni bwabwe ne muminaanio,mungu mweza wa vyote akawa akiwafanyia huruma kea machungu na mateso
ne buli lwoosi omwimeelesi owa bioosi wele wabwe bamkholela ne afwiile babaandu bakaluukhananga bumayanu mala basaaya bawele baali bakobole khungila chikhale ne likhola ne ashitoreti,na kila mara msimamizi wa vyote mungu wao wamfanyie akiwa amefariki watu wakarejelea dhambi kisha wakaabudu miungu baali wakarudi kwa njia za kitambo na matendo na ashitoreti
nio wele omunyali owa bioosii khukhwola eselukho eyaba ne ebirire wele owa bioosi aambila baisiraeli lirima,ndipo mungu mweza wa vyote kufikia uzao uliokuwa na kupita mungu mweza wa vyote akapata hasira
bakholelenga ne khusikamila bawele alekha omwami kushani rishadhaimu babaandi mala baloba khulekha chingila chabwe chikhiikha,wafanyie kama kuinamia miungu akaacha mfalme kushani rishadhaimu wengine kisha wakakataa kuacha njia zao mbaya
wele omunyali baba asi wewe kimiiko munane,mungu mweza alikuwa chini yake miaka nane
nio owa bioosi aambwa lirima khu baisiraeli baisiraeli balilila wele omunyali owa bioosi,ndipo mwenye vyote akashikwa na hasira kea waisraeli waisraeli walililia mungu mweza wa vyote
aloma ali ekholo yino yafunake endakaano niyo balaka bakuuka baabwe baliinde,akasema kuwa ukoo huu umevunja agano ambayo niliwaagiza mababu zao wailinde
se baandire ese tawe,hawajanitii mimi
se ndaoona lundi chikholo chichaaba ne chisili mu sibala nga yoshua ne akhafwa chiruremo tawe,sitawafukuza tena koo zilizokuwa zingali kea nchi wakati yoshua alipokuwa hajafa ziondoke
ndachirumikhila khukela baisiraeli ndole baloonda chingila chase nga bakuuka baabwe ne bakhola namwe tawe,nitazitumia kujaribu waisraeli nione watafuata njia zangu kama mababu zao walivyofanya ama hapana
nio wele omunyali owa bioosi alekha chikholo echo chisikale mu sibala omwo,ndipo mungu mweza wa vyote akawaacha koo hizo zilizobaki kwa nchi hiyo
se akhola yoshua abaula tawe namwe se abaoona khangu baruramo enyuma we lifwa lia yoshua tawe,hakufanya yoshua akawateka ama hakuwafukuza haraka wakaondoka baada ya kifo cha yoshua
wele omunyali owa bioosi alekha chikholo chindala mu sibala khukhaka baisiraeli bakhaabirira mwiie mu kanaani tawe,mungu mweza wa vyote akaacha koo zingine kwa nchi kujaribu waisraeli wasipitie vitani kanaani
ekironi aambana ne baamori na kanaani,ekironi ashirikiana na waamori na wakanaani
akhola lino ne ekisia baamaleki baula baisiraeli mala baamba buli eselukhu eya baisiraeli mu liie lukali khu abo abele bakhabakho mwiie tawe,alifanya hili na kuwafunza waamaleki wakateka waisraeli kisha wakamshika kila uzao wa israeli kwa vita sana kwa hao ambao hawajakuwa vitani
babalekhwa mu sibala baba babaami baraano bafilisiti bakanaani boosi basidoni ne bahibi bamenyile mu bikulu via lebanoni khukhwama khu sikulu sia bali herimoni khukhwola khu silibwa sie hamati,walioachwa kwa nchi walikuwa wafalme watano wafilisti wakanaani wote wasidoni na wahivi wanaoishi kwa vilima vya lebanoni kutoka kwa mlima wa baali herimoni kufika kwa lango la hamati
baisiraeli baba asi we bunyali bwa ekironi babalekhwa mu sibala baba babaami khulwe kimiiko ekhumi na munaane,waisraeli walikuwa chini ya uwezo wa ekironi walioachwa kwa nchi walikuwa wafalme kwa miaka kumit na minane
omunyali owa bioosi aruma omundu abaabina,mweza wa vyote alituma mtu kuwaokoa
oyuno aba ehudi omundu khu bikulu khukwhaama mu kholo eya benjamini,huyu alikuwa ehudi mtu wa vilima kutoka kwa ukoo wa benjamini
baisiraeli baruma ehudi khu mwami ekironi owe bamoabu amuyiilile bianwa,waisraeli wakatuma ehudi kwa mfalme ekironi wa wamoabu ampelekee zawadi
ehudi aaba abasile embalu buleeyi bwe liraango eyokiia chimbeka chombi,ehudi alikuwa amenoa upanga urefu wa paja iliyokuwa na makali pande zote
se bafukiilila omundu akhaba mlala aliboa khu ndukhu eye sikele siewe yengene ambukhe tawe,hawakukubali mtu hata mmoja akaufunga kwa paja la mguu wake pekee yake avuke
nio abukula bianwa ayilila ekironi owaba omundu omunefu lukali,ndipo akachukua zawadi akapelekea ekironi aliyekuwa mtu mnene sana
nga bamala khumua bianwa ehudi aboolela babaandu babisuta barekukhe bache,walipomaliza kumpa zawadi ehudi aliwaambia watu waliobeba waondoke waende
ne ehudi omwene ayuukha akobolela amabaale kamabeche siimbi kilikali khu ekironi mala aloma ali omwami ndi ne likhua wa lia babili fwengene,na ehudi mwenyewe akarudi akapitia kwa mawe yaliyochongwa karibu giligali kwa ekironi kisha akasema kuwa mfalme nina neno la wawili pekee yetu
nio omwami arusia lilaka khu bakholi bewe ali rura mukhulekhe fwengene boosi barura enje,ndipo mfalme akatoa amri kwa wafanyakazi wake kuwa ondoka mtuache pekee yetu wote wakatoka nje
nga omwami ne aba ne ekhaale yengene mu lusiro lunyifu lwe munju angaaki ehudi amuchao mala aloma ali ese ndi ne likhua liowo khukhwama khu wele,wakati mfalme alikuwa ameketi pekee yake kwa chumba cha nyumba juu ehudi akamwendea kisha akasema kuwa mimi nina neno lako kutoka kwa mungu
omwami enyokha eema,mfalme akaamka akasimama
ne khumukhono kumukoota ehudi abukula embalu khukhwama khu ndukhu eya lubeka luseecha mala auuna omwami enda,na mkono wa kike ehudi akachukua upanga kutoka kwa paja la upande wa kiuume kisha akamudunga mfalme tumbo
embalu yoosi yengila ne siini siosi mala kiminawa kiakifuunikha,upanga wote ukaingia na maini yote kisha minofu ikaifunika
